service,category,confidence,reasoning,signals,model,input_hash,classified_at,source
Cloud Input Intelligence (CII),not_ai,low,"[QC overturn: No verifiable Microsoft feature matches this name; the ai_featured label invents a predictive-text ML capability. Per precision-over-recall, an unconfirmed 'Intelligence' name defaults to not_ai.] Original: Likely a Microsoft 365 predictive-text/input-suggestion feature; 'Intelligence' in the name suggests an embedded ML-based prediction capability secondary to the core collaboration suite.","[""Cloud Input Intelligence"", ""Microsoft 365 GCC""]",claude-sonnet-5,0058b85f92c85181,2026-07-05T01:56:37Z,qc_corrected
Cloud Interconnect,not_ai,high,"GCP dedicated network connectivity service, pure networking infrastructure.","[""Cloud Interconnect"", ""GCP""]",claude-sonnet-5,e724a81c10ed8ae5,2026-07-04T21:37:29Z,llm
Cloud Intrusion Detection System (Cloud IDS),not_ai,medium,"Google's Cloud IDS is built on Palo Alto Networks signature-based threat detection technology, a traditional network IDS rather than an AI-branded product.","[""Intrusion Detection System"", ""GCP""]",claude-sonnet-5,0fa917a23803320e,2026-07-04T21:37:29Z,llm
Cloud Key Management Service (Cloud KMS),not_ai,high,"Encryption key management service, purely a security/infrastructure function.","[""Key Management Service"", ""GCP""]",claude-sonnet-5,ada0977c409759e7,2026-07-04T21:37:29Z,llm
Cloud Load Balancing: Application Load Balancer,not_ai,high,"GCP load balancing infrastructure for application traffic, a networking function.","[""Load Balancing"", ""GCP""]",claude-sonnet-5,daf0a4f1cdefea0a,2026-07-04T21:37:29Z,llm
Cloud Load Balancing: Passthrough Network Load Balancer,not_ai,high,"GCP network-layer load balancer, pure networking infrastructure.","[""Load Balancing"", ""Network Load Balancer"", ""GCP""]",claude-sonnet-5,71d2ad6fc3c5511f,2026-07-04T21:37:29Z,llm
Cloud Load Balancing: Proxy Network Load Balancer,not_ai,high,"GCP proxy-based network load balancer, pure networking infrastructure.","[""Load Balancing"", ""Proxy Network Load Balancer"", ""GCP""]",claude-sonnet-5,fcb38098f7517fae,2026-07-04T21:37:29Z,llm
Cloud Logging,not_ai,high,"GCP's log management/aggregation service; pure observability infrastructure, no ML/AI capability.","[""Logging"", ""GCP infrastructure""]",claude-sonnet-5,907fe1179bcd1a85,2026-07-04T21:37:29Z,llm
Cloud Monitoring,not_ai,high,GCP's metrics/monitoring service; standard observability tooling with no AI functionality.,"[""Monitoring"", ""GCP infrastructure""]",claude-sonnet-5,338790e24f63427a,2026-07-04T21:37:29Z,llm
Cloud Monitoring Console,not_ai,high,Splunk's operational intelligence/log-analysis console; analyzes machine data but is not itself an ML/AI product.,"[""operational intelligence"", ""analyze the massive streams of machine-generated data""]",claude-sonnet-5,29ec9ceeda2f49f1,2026-07-05T01:56:37Z,qc_confirmed
Cloud NAT (Network Address Translation),not_ai,high,GCP networking primitive for outbound NAT; pure infrastructure.,"[""Network Address Translation""]",claude-sonnet-5,dd062a6a432292a6,2026-07-04T21:37:29Z,llm
Cloud Natural Language API,core_ai,high,Google Cloud's NLP API for entity/sentiment/syntax analysis of text — a dedicated ML-based language service.,"[""Natural Language API""]",claude-sonnet-5,a38550ee8368a362,2026-07-05T01:56:37Z,qc_confirmed
Cloud Next Generation Firewall (Cloud NGFW) - Essentials,not_ai,high,"GCP managed firewall product; network security, not AI.","[""Firewall""]",claude-sonnet-5,cd6e2986da827c25,2026-07-04T21:37:29Z,llm
Cloud Next Generation Firewall (Cloud NGFW) - Standard,not_ai,high,"GCP managed firewall product; network security, not AI.","[""Firewall""]",claude-sonnet-5,c44f4a415128954d,2026-07-04T21:37:29Z,llm
Cloud Profiler*,not_ai,high,"GCP application performance profiling tool; developer tooling, not AI.","[""Profiler""]",claude-sonnet-5,5f65bdd3b1cb238e,2026-07-04T21:37:29Z,llm
Cloud Quotas,not_ai,high,GCP resource-quota management service; administrative infrastructure.,"[""Quotas""]",claude-sonnet-5,9cf75d93362d05e2,2026-07-04T21:37:29Z,llm
Cloud SDK,not_ai,high,GCP command-line/developer SDK tooling; not an AI product.,"[""SDK""]",claude-sonnet-5,a210058e9cb9110f,2026-07-04T21:37:29Z,llm
Cloud SQL,not_ai,high,GCP managed relational database service.,"[""SQL"", ""database""]",claude-sonnet-5,552e53817612b798,2026-07-04T21:37:29Z,llm
Cloud Scheduler*,not_ai,high,GCP managed cron/job scheduler; not AI.,"[""Scheduler""]",claude-sonnet-5,c0409eec8b560ed0,2026-07-04T21:37:29Z,llm
Cloud Search (including 3P),not_ai,low,"Google Workspace's enterprise search feature; while it may use ML-based relevance ranking under the hood, it is not marketed or classified as a distinct AI capability.","[""Google Workspace"", ""Search""]",claude-sonnet-5,325c69b52f37f1f7,2026-07-05T01:56:37Z,qc_confirmed
Cloud Service Mesh (formerly Anthos Service Mesh),not_ai,high,"GCP service mesh for microservice networking/traffic management; infrastructure, not AI.","[""Service Mesh""]",claude-sonnet-5,d4bdc78a033acc5a,2026-07-04T21:37:29Z,llm
Cloud Services,not_ai,high,"Legacy Azure PaaS compute hosting model; generic cloud compute, not AI.","[""Azure Commercial Cloud"", ""build, test, deploy""]",claude-sonnet-5,8bd9f5b94ac5408e,2026-07-05T01:56:37Z,qc_confirmed
Cloud Services Extended Support,not_ai,high,"Extended support tier for legacy Azure Cloud Services; generic compute, not AI.","[""Azure Government""]",claude-sonnet-5,52373daf9fd71ca2,2026-07-04T21:37:29Z,llm
Cloud Shell,not_ai,high,"Browser-based command-line/dev environment across Azure/Oracle; developer tooling, not AI.","[""Shell""]",claude-sonnet-5,1a4abb7a27e91e42,2026-07-04T21:37:29Z,llm
Cloud Shell*,not_ai,high,"GCP's browser-based CLI environment; developer tooling, not AI.","[""Shell""]",claude-sonnet-5,fa749af34adff006,2026-07-04T21:37:29Z,llm
Cloud Source Repositories*,not_ai,high,GCP hosted Git source-code repository service; not AI.,"[""Source Repositories""]",claude-sonnet-5,b9689eba60d14d9b,2026-07-04T21:37:29Z,llm
Cloud Storage,not_ai,high,GCP object storage service; pure storage infrastructure.,"[""Storage""]",claude-sonnet-5,0bac80a838fbecb9,2026-07-04T21:37:29Z,llm
Cloud Storage for Firebase*,not_ai,high,"Firebase's object storage product; storage infrastructure, not AI.","[""Storage"", ""Firebase""]",claude-sonnet-5,54f443d644a2be56,2026-07-04T21:37:29Z,llm
Cloud Tasks,not_ai,high,GCP asynchronous task-queue service; not AI.,"[""Tasks"", ""queue""]",claude-sonnet-5,82457093f16f4142,2026-07-04T21:37:29Z,llm
Cloud Trace*,not_ai,high,"GCP distributed tracing/APM tool; observability, not AI.","[""Trace""]",claude-sonnet-5,f70be7b5e4bff9c7,2026-07-04T21:37:29Z,llm
Cloud Translation API,core_ai,high,"Google Cloud's machine-translation API, a dedicated ML/NLP language service.","[""Translation API""]",claude-sonnet-5,13ff9d8cde52654c,2026-07-05T01:56:37Z,qc_confirmed
Cloud VPN,not_ai,high,GCP managed VPN networking service; not AI.,"[""VPN""]",claude-sonnet-5,293b273a82fe4bef,2026-07-04T21:37:29Z,llm
Cloud Vision API,core_ai,high,"Google Cloud's computer-vision API for image analysis (labels, OCR, face/object detection) — a dedicated ML service.","[""Vision API""]",claude-sonnet-5,6deb87e8f6a72b3e,2026-07-05T01:56:37Z,qc_confirmed
Cloud Workload Protection (CWP),ai_featured,medium,SentinelOne's cloud workload security product; the host description explicitly cites 'advanced machine learning algorithms and behavioral AI' as core to its detection/response capability.,"[""advanced machine learning algorithms"", ""behavioral AI"", ""detection and response""]",claude-sonnet-5,9a1e120ee496a5ac,2026-07-05T01:56:37Z,qc_confirmed
Cloud Workstations,not_ai,high,"GCP managed cloud development-environment/VM product; developer infrastructure, not AI.","[""Workstations""]",claude-sonnet-5,04f4e148eaeac492,2026-07-04T21:37:29Z,llm
Cloudera AI,core_ai,high,"Named ML/data-science product line within Cloudera's platform, explicitly for building and managing machine learning services.","[""Cloudera AI"", ""machine learning services"", ""artificial intelligence functionality""]",claude-sonnet-5,ccb5c2f37c7eb98c,2026-07-05T01:56:37Z,qc_confirmed
Cloudflare Access,not_ai,high,Cloudflare's Zero Trust identity/access-control product; not AI.,"[""Access"", ""Zero Trust""]",claude-sonnet-5,7d0c82267379f1ce,2026-07-04T21:37:29Z,llm
Cloudflare Images,not_ai,medium,"Cloudflare's image storage/optimization/resizing CDN product; a media-delivery service, not an AI capability.","[""Images""]",claude-sonnet-5,40025e3d6c8628f8,2026-07-04T21:37:29Z,llm
Cloudflare Logs,not_ai,high,Cloudflare's log export/analytics product; not AI.,"[""Logs""]",claude-sonnet-5,e819ab5d25bd047d,2026-07-04T21:37:29Z,llm
Cloudflare Spectrum,not_ai,high,"Cloudflare's TCP/UDP proxy/DDoS-protection product for non-HTTP traffic; networking, not AI.","[""Spectrum""]",claude-sonnet-5,9b414b62de0b8469,2026-07-04T21:37:29Z,llm
Cloudflare Stream,not_ai,high,"Cloudflare's video hosting/streaming/encoding product; media delivery, not AI.","[""Stream"", ""video""]",claude-sonnet-5,a5e47bbd57b40998,2026-07-04T21:37:29Z,llm
Cloudflare Tunnel,not_ai,high,"Cloudflare's secure outbound-only network tunnel product; networking, not AI.","[""Tunnel""]",claude-sonnet-5,267450e266628306,2026-07-04T21:37:29Z,llm
Cloudflare Zero Trust,not_ai,high,"Cloudflare's Zero Trust security suite (access control, network security); not AI.","[""Zero Trust""]",claude-sonnet-5,e3181f44453a0bec,2026-07-04T21:37:29Z,llm
Cloudflare for SaaS,not_ai,high,Cloudflare's custom-hostname/SSL provisioning product for SaaS providers; not AI.,"[""for SaaS""]",claude-sonnet-5,c052845529f68f96,2026-07-04T21:37:29Z,llm
Cluster Placement Groups,not_ai,high,"Oracle Cloud Infrastructure compute placement/topology feature; infrastructure, not AI.","[""Placement Groups"", ""compute""]",claude-sonnet-5,ac1a89f1b400b17d,2026-07-05T01:56:37Z,qc_confirmed
"CodeScan, Guard, & ARMOR",not_ai,high,"AutoRABIT's static code analysis/DevOps governance tools for Salesforce; rule-based code quality/security scanning, not AI.","[""static code analysis tool"", ""quality gates""]",claude-sonnet-5,46f6bb34d42a3181,2026-07-04T21:37:29Z,llm
Cognition Plugins,not_ai,low,"[QC overturn: Product scope is unconfirmed; the ai_featured label rests on the 'Cognition' name plus the AI-heavy host boundary (explicitly noise per rubric). Cannot defend an AI capability against a skeptic, so not_ai.] Original: Listed within Palantir's PFCS-SS supporting-services bundle alongside 'Claude for Government'; the 'Cognition' naming suggests an LLM/AI-extension plugin layer, but the exact product scope is not independently confirmed.","[""Cognition"", ""Claude for Government"", ""supporting services""]",claude-sonnet-5,be21ce24fb2798fd,2026-07-05T01:56:37Z,qc_corrected
Cohere,core_ai,high,"Cohere is an LLM provider; its models (Command, Embed, etc.) are foundation-model hosting/inference, hosted here via Second Front's Game Warden platform.","[""Cohere"", ""commercial technology"", ""Game Warden""]",claude-sonnet-5,f61cd4ea547328a5,2026-07-05T01:56:37Z,qc_confirmed
Collaborative Operations Center Feature Pack,not_ai,medium,"Bluescape's visual collaborative workspace add-on for operations centers; collaboration/whiteboard tooling, not AI.","[""secure workspace"", ""operations centers"", ""Feature Pack""]",claude-sonnet-5,246a09793381a53f,2026-07-04T21:37:29Z,llm
ColorTokens,not_ai,high,Microsegmentation/zero-trust network security product hosted on SMX's IAP; not AI.,"[""ColorTokens""]",claude-sonnet-5,f17e5847ea708a61,2026-07-04T21:37:29Z,llm
Command Central Digital Evidence Management System,not_ai,medium,"Motorola's digital evidence storage/chain-of-custody management system; records-management product, no stated AI capability.","[""Digital Evidence Management System""]",claude-sonnet-5,3fcf132de09c596a,2026-07-04T21:37:29Z,llm
CommandCentral Admin (CCAdmin),not_ai,medium,"Motorola CommandCentral suite's administration module; system management tooling, not AI.","[""Admin"", ""CommandCentral""]",claude-sonnet-5,d34a7d2b4e2ed7fd,2026-07-04T21:37:29Z,llm
CommandCentral Aware (CCAware),not_ai,low,"Motorola CommandCentral's situational-awareness/mapping module; described as fast access to information, no explicit ML/AI claim.","[""Aware"", ""actionable information""]",claude-sonnet-5,1f632f0d20d15039,2026-07-05T01:56:37Z,qc_confirmed
Common Data Service,not_ai,high,"Microsoft's data platform underlying Power Platform/Dynamics (now Dataverse); a database service, not AI.","[""Data Service""]",claude-sonnet-5,ca2e7dc9d89af952,2026-07-04T21:37:29Z,llm
Communications Cloud,not_ai,high,"Salesforce's CRM product for communications-industry service delivery; CRM, not AI.","[""CRM"", ""Salesforce""]",claude-sonnet-5,4fcd907d7bcf429a,2026-07-04T21:37:29Z,llm
Company Bill Statements,not_ai,high,"SAP Concur travel/expense billing feature; finance/expense management, not AI.","[""Bill Statements"", ""Concur"", ""travel and expense""]",claude-sonnet-5,5e87897e83ed3d39,2026-07-04T21:37:29Z,llm
Compliance,not_ai,high,"Onspring GovCloud's GRC/compliance-management module; workflow and reporting for governance programs, not AI.","[""governance, risk management, and compliance""]",claude-sonnet-5,60d2ba4de664cff8,2026-07-04T21:37:29Z,llm
Compliance Documents Service,not_ai,high,A document management service for compliance artifacts on Oracle Cloud; no ML/AI capability indicated by the name.,"[""Compliance Documents"", ""Oracle Cloud Infrastructure""]",claude-sonnet-5,e1d57f9cb5e71224,2026-07-04T21:37:29Z,llm
Compliance Scanning,not_ai,high,"Generic compliance/configuration scanning offering on MAXIMUS Cloud, not an ML capability.","[""Compliance Scanning"", ""MAXIMUS Cloud""]",claude-sonnet-5,1b5d1b235c268cb2,2026-07-04T21:37:29Z,llm
Compliance as Code,not_ai,high,"RegScale's GRC/continuous-controls-monitoring automation product; rules-based compliance tooling, not AI/ML.","[""Compliance as Code"", ""GRC"", ""RegScale""]",claude-sonnet-5,851ee018782969e6,2026-07-04T21:37:29Z,llm
Compute,not_ai,high,Generic IaaS compute offering.,"[""Compute"", ""Oracle Cloud Infrastructure""]",claude-sonnet-5,3705ce5c89265f0e,2026-07-05T01:56:37Z,qc_confirmed
Compute Engine,not_ai,high,"Google Compute Engine is plain virtual-machine IaaS, no AI/ML capability.","[""Compute Engine"", ""Google Cloud Platform""]",claude-sonnet-5,82875718416319c1,2026-07-04T21:37:29Z,llm
Compute Monitoring,not_ai,high,"Infrastructure monitoring for compute resources, not an AI/ML service.","[""Compute Monitoring"", ""Oracle Cloud Infrastructure""]",claude-sonnet-5,5c4a2d712c224ae0,2026-07-05T01:56:37Z,qc_confirmed
Computer Vision,core_ai,high,"Azure Computer Vision is Microsoft's image/video analysis ML API (OCR, object detection, tagging).","[""Computer Vision"", ""Azure Commercial Cloud""]",claude-sonnet-5,c85d7f87852064b6,2026-07-05T01:56:37Z,qc_confirmed
Concur Expense only,not_ai,high,"SAP Concur travel-and-expense module; expense tracking/reimbursement, not an AI capability.","[""Concur Expense"", ""Concur Cloud for Public Sector""]",claude-sonnet-5,7bab295dff14e58e,2026-07-04T21:37:29Z,llm
Concur Request,not_ai,high,Concur's pre-trip request/approval workflow module.,"[""Concur Request"", ""travel and expense""]",claude-sonnet-5,7d2c13cf6953a3cd,2026-07-04T21:37:29Z,llm
Concur Travel & Expense,not_ai,high,Core Concur travel-and-expense booking/management suite.,"[""Concur Travel & Expense""]",claude-sonnet-5,6f53a932d74a5ff9,2026-07-04T21:37:29Z,llm
Concur Travel and Expense,not_ai,high,"Same as Concur Travel & Expense, a duplicate naming variant.","[""Concur Travel and Expense""]",claude-sonnet-5,3efcabf381e9b2cd,2026-07-04T21:37:29Z,llm
