"SECTION 1: Use Case Identifiers
Complete this Section for the following Use Cases: Retired,  Pre-deployment, Pilot, and Deployed",,,,,,,,"SECTION 2: Use Case Summary
Complete this Section for the following Use Cases: Pre-deployment, Pilot, and Deployed",,,,,"SECTION 3: Documentation
Complete this Section for the following Use Cases: Pilot, and Deployed

",,,,,"SECTION 4: Data & Code
Complete this Section for the following Use Cases: Pilot, and Deployed",,,,,,,"
SECTION 5: Risk Management 
Complete this Section for the following Use Case: Deployed and if ""HIGH-IMPACT"" from SECTION 1

",,,,,,,,
NASA-660,Planetary Trajectory Design Using Generative AI Tools,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Planetary Trajectory Design Using Generative AI Tools,Planetary Trajectory Design Using Generative AI Tools,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-661,Planted Area mapping in food insecure conflict zones,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Planted Area mapping in food insecure conflict zones,Planted Area mapping in food insecure conflict zones,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-662,PM2.5 Estimation using MERRA2 and Advanced machine learning model over US,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,PM2.5 Estimation using MERRA2 and Advanced machine learning model over US,PM2.5 Estimation using MERRA2 and Advanced machine learning model over US,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-663,PM2.5 Product development using AERONET data,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,PM2.5 Product development using AERONET data,PM2.5 Product development using AERONET data,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-664,Prediction of Spaceflight Mass Spectrometry Chemical Information with Neural Networks,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Prediction of Spaceflight Mass Spectrometry Chemical Information with Neural Networks,Prediction of Spaceflight Mass Spectrometry Chemical Information with Neural Networks,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-665,Prediction of whitecaps,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Prediction of whitecaps,Prediction of whitecaps,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-666,Quantifying Uncertainty and Constraining Parameterizations of Clouds in Earth System Models using NASA Observations ,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Quantifying Uncertainty and Constraining Parameterizations of Clouds in Earth System Models using NASA Observations ,Quantifying Uncertainty and Constraining Parameterizations of Clouds in Earth System Models using NASA Observations ,Predictions  ,,,,,,,,,,,,,,,,,,,,,
NASA-667,Rangelands Water Monitoring and Forecasting System ,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Rangelands Water Monitoring and Forecasting System ,Rangelands Water Monitoring and Forecasting System ,Predictions  ,,,,,,,,,,,,,,,,,,,,,
NASA-668,Reconstruction of VIIRS Level1 geolocation data,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Reconstruction of VIIRS Level1 geolocation data,Reconstruction of VIIRS Level1 geolocation data,Predictions  ,,,,,,,,,,,,,,,,,,,,,
NASA-669,Reproducing surface irradiance and penetration depth retrievals using machine learning ,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Reproducing surface irradiance and penetration depth retrievals using machine learning ,Reproducing surface irradiance and penetration depth retrievals using machine learning ,Predictions  ,,,,,,,,,,,,,,,,,,,,,
NASA-670,RST I&T Science Data Telemetry Query,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,RST I&T Science Data Telemetry Query,RST I&T Science Data Telemetry Query,Predictions  ,,,,,,,,,,,,,,,,,,,,,
NASA-671,RST Image Anomaly Detection,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,RST Image Anomaly Detection,RST Image Anomaly Detection,Predictions  ,,,,,,,,,,,,,,,,,,,,,
NASA-672,SatVision: Precursor for a foundation model developed using MODIS surface reflectance data,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,SatVision: Precursor for a foundation model developed using MODIS surface reflectance data,SatVision: Precursor for a foundation model developed using MODIS surface reflectance data,Predictions  ,,,,,,,,,,,,,,,,,,,,,
NASA-673,Science Autonomy Applications for ExoMars/MOMA,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Science Autonomy Applications for ExoMars/MOMA,Science Autonomy Applications for ExoMars/MOMA,Predictions  ,,,,,,,,,,,,,,,,,,,,,
NASA-674,Science Keyword Link Prediction,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Science Keyword Link Prediction,Science Keyword Link Prediction,Predictions  ,,,,,,,,,,,,,,,,,,,,,
NASA-675,Self-supervised learning for modeling gamma-ray variability in blazars,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Self-supervised learning for modeling gamma-ray variability in blazars,Self-supervised learning for modeling gamma-ray variability in blazars,Predictions  ,,,,,,,,,,,,,,,,,,,,,
NASA-678,Smart NINT,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Smart NINT,Smart NINT,Predictions  ,,,,,,,,,,,,,,,,,,,,,
NASA-680,Software Issue Classification with LLM,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Information Technology,Natural Language Processing (NLP),Software Issue Classification with LLM,Software Issue Classification with LLM,Predictions  ,,,,,,,,,,,,,,,,,,,,,
NASA-683,SpRInT to Advance the SOA of Intelligent Space Systems,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,SpRInT to Advance the SOA of Intelligent Space Systems,SpRInT to Advance the SOA of Intelligent Space Systems,Predictions  ,,,,,,,,,,,,,,,,,,,,,
NASA-684,Super Resolution to enhance climate reanalysis data,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Computer Vision,Super Resolution to enhance climate reanalysis data,Super Resolution to enhance climate reanalysis data,Predictions  ,,,,,,,,,,,,,,,,,,,,,
NASA-685,Super-Resolution for Nighttime Lights,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Computer Vision,Super-Resolution for Nighttime Lights,Super-Resolution for Nighttime Lights,Predictions  ,,,,,,,,,,,,,,,,,,,,,
NASA-686,Terrain Modeling and Landmark Navigation with Radiance Fields,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Terrain Modeling and Landmark Navigation with Radiance Fields,Terrain Modeling and Landmark Navigation with Radiance Fields,Predictions  ,,,,,,,,,,,,,,,,,,,,,
NASA-687,Terrestrial Environmental Rapid-Replicating and Assimilation Hydrometeorological (TERRAHydro) System,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Terrestrial Environmental Rapid-Replicating and Assimilation Hydrometeorological (TERRAHydro) System,Terrestrial Environmental Rapid-Replicating and Assimilation Hydrometeorological (TERRAHydro) System,Predictions  ,,,,,,,,,,,,,,,,,,,,,
NASA-688,Text to Spacecraft,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Text to Spacecraft,Text to Spacecraft,Predictions  ,,,,,,,,,,,,,,,,,,,,,
NASA-690,The evaluation of clouds in R21C data via a ML-based MODIS simulator,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,The evaluation of clouds in R21C data via a ML-based MODIS simulator,The evaluation of clouds in R21C data via a ML-based MODIS simulator,Predictions  ,,,,,,,,,,,,,,,,,,,,,
NASA-692,Toward ice sheet surface data assimilation: Employing satellite observations and machine learning to improve model representation of ice sheet surface melt,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Identify sources of error in an Earth system model component.,"Improve the representation of the Earth system in diagnostic model simulations, data assimilation, and predictions.",The AI system outputs predictions of model error under a wide range of conditions.,,,,,,,,,,,,,,,,,,,,,
NASA-693,Towards an Integrated Observation System for OH: A Case Study in the Tropics,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Computer Vision,Towards Learning-based Visual Perception with GAVIN: the Goddard AI Verification and INtegration Tool Suite,Towards an Integrated Observation System for OH: A Case Study in the Tropics,Predictions  ,,,,,,,,,,,,,,,,,,,,,
NASA-694,Towards Learning-based Visual Perception with GAVIN: the Goddard AI Verification and INtegration Tool Suite,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Computer Vision,Towards Learning-based Visual Perception with GAVIN: the Goddard AI Verification and INtegration Tool Suite,Towards Learning-based Visual Perception with GAVIN: the Goddard AI Verification and INtegration Tool Suite,Predictions  ,,,,,,,,,,,,,,,,,,,,,
NASA-703,Depth from Spectral Defocus for Lunar Regolith,ARC: Ames Research Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Computer Vision,Our technique reconstructs a 3D model of a scene based on images taken from a single viewpoint -- via estimating a depth map of a scene based on the defocus of different objects in captured images-- illuminated with light of different wavelengths. This pipeline has potential applications for 3D reconstruction on upcoming lunar missions carrying a multi-spectral imaging system as payload. ,Our pipeline has shown success on synthetic lunar data sets taken with the Ames Imaging Module (NIRVSS-AIM) camera system.,3D model of a scene,,,,,,,,,,,,,,,,,,,,,
NASA-704,Neural Scene Representations for Lunar Terrain Modeling,ARC: Ames Research Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Computer Vision,"We have developed LunarNRM, a novel neural surface reconstruction algorithm based on Neural Radiance Fields (NeRFs) that incorporates shadow-aware and depth-aware methodologies. ","By integrating multi-sensor data from the Lunar Reconnaissance Orbiter (LRO)—specifically optical data from the Narrow Angle Camera (NAC) and altimeter data from the Lunar Orbiter Laser Altimeter (LOLA)—we have demonstrated that LunarNRM can effectively reconstruct these critical regions, directly supporting NASA’s Artemis campaign.","Our LunarNRM generates shadow-controlled Digital Elevation Models (DEMs) of the lunar surface, enabling accurate modeling and relighting of largely shadowed regions such as craters in the lunar south pole. ",,,,,,,,,,,,,,,,,,,,,
